,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,geom
352,Нарынская область,Kyrgyzstan,2020-09-20 04:22:56,41.20438,74.766098,45335,1063,41484,2788.0,Kyrgyzstan,694.8754259340352,2.34476673651704,"41.20438, 74.766098"
353,ຫລວງພະບາງ,Laos,2020-09-20 04:22:56,19.85627,102.495496,23,0,22,1.0,Laos,0.3161270423868636,0.0,"19.85627, 102.495496"
354,Zemgale,Latvia,2020-09-20 04:22:56,56.8796,24.6032,1515,36,1248,231.0,Latvia,80.32013538316681,2.376237623762376,"56.8796, 24.6032"
355,محافظة البقاع,Lebanon,2020-09-20 04:22:56,33.8547,35.8623,28297,286,11440,16571.0,Lebanon,414.5812095392503,1.0107078488885748,"33.8547, 35.8623"
356,Thaba-Tseka District,Lesotho,2020-09-20 04:22:56,-29.61,28.2336,1390,33,754,603.0,Lesotho,64.88499018789572,2.3741007194244603,"-29.61, 28.2336"
357,Grand Bassa County,Liberia,2020-09-20 04:22:56,6.4280550000000005,-9.429499,1335,82,1216,37.0,Liberia,26.39551715145115,6.142322097378278,"6.4280550000000005, -9.429499"
358,الجفرة,Libya,2020-09-20 04:22:56,26.3351,17.228331,27234,436,14679,12119.0,Libya,396.34496419666357,1.6009400014687525,"26.3351, 17.228331"
359,,Liechtenstein,2020-09-20 04:22:56,47.14,9.55,113,1,109,3.0,Liechtenstein,296.3001809266592,0.8849557522123894,"47.14, 9.55"
360,Kauno apskritis,Lithuania,2020-09-20 04:22:56,55.1694,23.8813,3664,87,2197,1380.0,Lithuania,134.59251784618178,2.3744541484716155,"55.1694, 23.8813"
361,,Luxembourg,2020-09-20 04:22:56,49.8153,6.1296,7718,124,6703,891.0,Luxembourg,1232.9546180684245,1.6066338429644986,"49.8153, 6.1296"
363,Itasy,Madagascar,2020-09-20 04:22:56,-18.766947,46.869107,16020,219,14630,1171.0,Madagascar,57.852692239314116,1.3670411985018731,"-18.766947, 46.869107"
364,Nkhotakota,Malawi,2020-09-20 04:22:56,-13.2543,34.3015,5718,179,4030,1509.0,Malawi,29.890295089559803,3.1304651976215463,"-13.2543, 34.3015"
365,Pahang,Malaysia,2020-09-20 04:22:56,4.210483999999999,101.975766,10167,130,9315,722.0,Malaysia,31.41259540336127,1.2786466017507625,"4.210483999999999, 101.975766"
366,Vaavu,Maldives,2020-09-20 04:22:56,3.2028,73.2207,9649,33,8188,1428.0,Maldives,1785.0601803375132,0.34200435278267177,"3.2028, 73.2207"
367,Tombouctou,Mali,2020-09-20 04:22:56,17.570692,-3.996166000000001,3006,128,2349,529.0,Mali,14.843833098429425,4.258150365934797,"17.570692, -3.996166000000001"
368,Tramuntana,Malta,2020-09-20 04:22:56,35.9375,14.3754,2699,19,2017,663.0,Malta,611.2710315510068,0.7039644312708411,"35.9375, 14.3754"
369,أدرار,Mauritania,2020-09-20 04:22:56,21.0079,-10.9408,7365,161,6927,277.0,Mauritania,158.39867861305987,2.1860149355057708,"21.0079, -10.9408"
370,Plaines Wilhems,Mauritius,2020-09-20 04:22:56,-20.348404,57.552152,366,10,338,18.0,Mauritius,28.77885650437541,2.7322404371584703,"-20.348404, 57.552152"
403,,Moldova,2020-09-20 04:22:56,47.4116,28.3699,46336,1201,34236,10899.0,Moldova,1148.647124428261,2.5919371546961325,"47.4116, 28.3699"
404,,Monaco,2020-09-20 04:22:56,43.7333,7.4167,192,1,152,39.0,Monaco,489.24676383650996,0.5208333333333334,"43.7333, 7.4167"
405,Өвөрхангай,Mongolia,2020-09-20 04:22:56,46.8625,103.8467,312,0,302,10.0,Mongolia,9.517151004242454,0.0,"46.8625, 103.8467"
406,,Montenegro,2020-09-20 04:22:56,42.708678000000006,19.37439,7898,134,5129,2635.0,Montenegro,1257.5191621209372,1.6966320587490504,"42.708678000000006, 19.37439"
407,,Morocco,2020-09-20 04:22:56,31.7917,-7.0926,99816,1795,79008,19013.0,Morocco,270.4266892957836,1.7983088883545724,"31.7917, -7.0926"
408,Sofala,Mozambique,2020-09-20 04:22:56,-18.665695,35.529562,6537,41,3620,2876.0,Mozambique,20.914762504505216,0.6271990209576258,"-18.665695, 35.529562"
409,Omaheke Region,Namibia,2020-09-20 04:22:56,-22.9576,18.4904,10292,111,7969,2212.0,Namibia,405.05077696389816,1.0785075787019045,"-22.9576, 18.4904"
410,,Nepal,2020-09-20 04:22:56,28.1667,84.25,62797,401,45267,17129.0,Nepal,215.5246381140996,0.6385655365702183,"28.1667, 84.25"
428,Wellington,New Zealand,2020-09-20 04:22:56,-40.9006,174.886,1815,25,1719,71.0,New Zealand,37.638164725760866,1.3774104683195592,"-40.9006, 174.886"
429,Matagalpa,Nicaragua,2020-09-20 04:22:56,12.865416,-85.207229,4961,147,2913,1901.0,Nicaragua,74.88806038866919,2.963112275750857,"12.865416, -85.207229"
430,,Niger,2020-09-20 04:22:56,17.607789,8.081666,1183,69,1104,10.0,Niger,4.887089639386488,5.832628909551986,"17.607789, 8.081666"
431,Nasarawa,Nigeria,2020-09-20 04:22:56,9.082,8.6753,57145,1095,48431,7619.0,Nigeria,27.72150698060727,1.9161781433196248,"9.082, 8.6753"
432,Вардарски СР,North Macedonia,2020-09-20 04:22:56,41.6086,21.7453,16557,689,13792,2076.0,North Macedonia,794.7181983123578,4.161381892854986,"41.6086, 21.7453"
433,,Norway,2020-09-20 04:22:56,60.472,8.4689,12858,267,10371,2220.0,Norway,237.178122651599,2.076528231451237,"60.472, 8.4689"
434,محافظة الظاهرة,Oman,2020-09-20 04:22:56,21.512583,55.92325500000001,91753,818,84648,6287.0,Oman,1796.7454806719586,0.8915239828670453,"21.512583, 55.92325500000001"
442,,Panama,2020-09-20 04:22:56,8.538,-80.7821,105601,2247,80190,23164.0,Panama,2447.431704323384,2.127820759273113,"8.538, -80.7821"
443,Southern Highlands,Papua New Guinea,2020-09-20 04:22:56,-6.314993,143.95555,516,6,232,278.0,Papua New Guinea,5.767278896107054,1.162790697674419,"-6.314993, 143.95555"
444,Presidente Hayes,Paraguay,2020-09-20 04:22:56,-23.4425,-58.4438,33015,636,17535,14844.0,Paraguay,462.8792307918789,1.926397092230804,"-23.4425, -58.4438"
471,Romblon,Philippines,2020-09-20 04:22:56,12.879721,121.774017,283460,4930,209885,68645.0,Philippines,258.67602971808503,1.7392224652508292,"12.879721, 121.774017"
472,województwo łódzkie,Poland,2020-09-20 04:22:56,51.9194,19.1451,78330,2282,63861,12187.0,Poland,206.9670449965063,2.9133154602323503,"51.9194, 19.1451"
473,Centro,Portugal,2020-09-20 04:22:56,39.3999,-8.2245,68025,1899,45404,20722.0,Portugal,667.127142125394,2.7916207276736493,"39.3999, -8.2245"
474,الشحانية,Qatar,2020-09-20 04:22:56,25.3548,51.1839,123146,209,120089,2848.0,Qatar,4274.329587026997,0.16971724619557274,"25.3548, 51.1839"
475,,Romania,2020-09-20 04:22:56,45.9432,24.9668,111550,4402,89119,18029.0,Romania,579.851564237313,3.946212460779919,"45.9432, 24.9668"
559,Amajvepfo,Rwanda,2020-09-20 04:22:56,-1.9403,29.8739,4689,26,2910,1753.0,Rwanda,36.20231884769617,0.5544892301130305,"-1.9403, 29.8739"
560,Saint Kitts,Saint Kitts and Nevis,2020-09-20 04:22:56,17.357822,-62.782998,17,0,17,0.0,Saint Kitts and Nevis,31.959693186945405,0.0,"17.357822, -62.782998"
561,Castries,Saint Lucia,2020-09-20 04:22:56,13.9094,-60.9789,27,0,26,1.0,Saint Lucia,14.70355989522352,0.0,"13.9094, -60.9789"
562,,Saint Vincent and the Grenadines,2020-09-20 04:22:56,12.9843,-61.2872,64,0,64,0.0,Saint Vincent and the Grenadines,57.68520104193895,0.0,"12.9843, -61.2872"
563,,San Marino,2020-09-20 04:22:56,43.9424,12.4578,723,42,669,12.0,San Marino,2130.355353880606,5.809128630705394,"43.9424, 12.4578"
564,Província de São Tomé,Sao Tome and Principe,2020-09-20 04:22:56,0.1864,6.6131,908,15,876,17.0,Sao Tome and Principe,414.30729007442017,1.6519823788546255,"0.1864, 6.6131"
565,,Saudi Arabia,2020-09-20 04:22:56,23.885942,45.079162,329271,4458,309430,15383.0,Saudi Arabia,945.8041532703046,1.353899979044617,"23.885942, 45.079162"
566,,Senegal,2020-09-20 04:22:56,14.4974,-14.4524,14688,302,11153,3233.0,Senegal,87.72134140551232,2.056100217864924,"14.4974, -14.4524"
567,Централна Србија,Serbia,2020-09-20 04:22:56,44.0165,21.0059,32840,740,0,32100.0,Serbia,375.8568081699642,2.2533495736906213,"44.0165, 21.0059"
568,,Seychelles,2020-09-20 04:22:56,-4.6796,55.492,141,0,136,5.0,Seychelles,143.38010982306284,0.0,"-4.6796, 55.492"
569,Northern Province,Sierra Leone,2020-09-20 04:22:56,8.460555000000001,-11.779889,2159,72,1650,437.0,Sierra Leone,27.065363668102673,3.33487725798981,"8.460555000000001, -11.779889"
570,,Singapore,2020-09-20 04:22:56,1.2833,103.8333,57558,27,57142,389.0,Singapore,983.8397509342616,0.046909204628374855,"1.2833, 103.8333"
571,Banskobystrický kraj,Slovakia,2020-09-20 04:22:56,48.669,19.699,6546,39,3519,2988.0,Slovakia,119.89794937141492,0.5957836846929423,"48.669, 19.699"
572,,Slovenia,2020-09-20 04:22:56,46.1512,14.9955,4309,141,2981,1187.0,Slovenia,207.2698866533393,3.2722209329310745,"46.1512, 14.9955"
573,Galgaduud جلجدود,Somalia,2020-09-20 04:22:56,5.152149,46.199616,3401,98,2812,491.0,Somalia,21.399063336382643,2.881505439576596,"5.152149, 46.199616"
574,Northern Cape,South Africa,2020-09-20 04:22:56,-30.5595,22.9375,659656,15940,589434,54282.0,South Africa,1112.2417305120043,2.4164109778429967,"-30.5595, 22.9375"
575,Jonglei,South Sudan,2020-09-20 04:22:56,6.877000000000002,31.307,2642,49,1290,1303.0,South Sudan,23.602501007483745,1.854655563966692,"6.877000000000002, 31.307"
596,මධ්‍යම පළාත,Sri Lanka,2020-09-20 04:22:56,7.873054,80.77179699999998,3283,13,3070,200.0,Sri Lanka,15.331628781245255,0.395979287237283,"7.873054, 80.77179699999998"
597,ولاية شمال كردفان,Sudan,2020-09-20 04:22:56,12.8628,30.2176,13535,836,6759,5940.0,Sudan,30.86710521901745,6.176579239009974,"12.8628, 30.2176"
598,Sipaliwini,Suriname,2020-09-20 04:22:56,3.9193,-56.0278,4709,97,4383,229.0,Suriname,802.7151511845544,2.059885325971544,"3.9193, -56.0278"
620,Obwalden,Switzerland,2020-09-20 04:22:56,46.8182,8.2275,49283,2045,40500,6738.0,Switzerland,569.4416553104942,4.149503885721241,"46.8182, 8.2275"
621,محافظة حمص,Syria,2020-09-20 04:22:56,34.802075,38.99681500000001,3765,170,932,2663.0,Syria,21.513478036853126,4.51527224435591,"34.802075, 38.99681500000001"
622,臺灣省,Taiwan*,2020-09-20 04:22:56,23.7,121.0,506,7,479,20.0,Taiwan*,2.12455296739378,1.383399209486166,"23.7, 121.0"
623,Ноҳияҳои тобеи ҷумҳурӣ,Tajikistan,2020-09-20 04:22:56,38.861,71.2761,9303,73,8066,1164.0,Tajikistan,97.53983217235456,0.7846931097495432,"38.861, 71.2761"
624,Singida,Tanzania,2020-09-20 04:22:56,-6.369028,34.888822,509,21,183,305.0,Tanzania,0.852107987092757,4.12573673870334,"-6.369028, 34.888822"
625,จังหวัดเพชรบูรณ์,Thailand,2020-09-20 04:22:56,15.870032,100.992541,3506,59,3340,107.0,Thailand,5.022924219259783,1.6828294352538506,"15.870032, 100.992541"
626,Manufahi,Timor-Leste,2020-09-20 04:22:56,-8.874217,125.727539,27,0,26,1.0,Timor-Leste,2.0478716545741107,0.0,"-8.874217, 125.727539"
627,Région Centrale,Togo,2020-09-20 04:22:56,8.6195,0.8248,1659,41,1259,359.0,Togo,20.03928860163089,2.471368294153104,"8.6195, 0.8248"
628,,Trinidad and Tobago,2020-09-20 04:22:56,10.6918,-61.2225,3853,61,1695,2097.0,Trinidad and Tobago,275.31438215751297,1.5831819361536466,"10.6918, -61.2225"
629,ولاية قابس,Tunisia,2020-09-20 04:22:56,33.886917,9.537499,9110,138,2366,6606.0,Tunisia,77.08177047434819,1.5148188803512623,"33.886917, 9.537499"
630,,Turkey,2020-09-20 04:22:56,38.9637,35.2433,301348,7445,266117,27786.0,Turkey,357.30535174167863,2.4705655919402147,"38.9637, 35.2433"
3901,Nakasongola,Uganda,2020-09-20 04:22:56,1.373333,32.290275,6017,63,2581,3373.0,Uganda,13.154500338864475,1.047033405351504,"1.373333, 32.290275"
3929,أبو ظبي,United Arab Emirates,2020-09-20 04:22:56,23.424076,53.847818,84242,404,73512,10326.0,United Arab Emirates,851.755237401925,0.4795707604282899,"23.424076, 53.847818"
3945,Tacuarembó,Uruguay,2020-09-20 04:22:56,-32.5228,-55.7658,1904,46,1612,246.0,Uruguay,54.81144603476324,2.4159663865546217,"-32.5228, -55.7658"
3946,Navoiy Viloyati,Uzbekistan,2020-09-20 04:22:56,41.377491,64.585262,50992,427,47271,3294.0,Uzbekistan,152.35500556795515,0.8373862566677126,"41.377491, 64.585262"
3947,Bolívar,Venezuela,2020-09-20 04:22:56,6.4238,-66.5897,65949,539,55155,10255.0,Venezuela,231.92126950036442,0.8172982152875707,"6.4238, -66.5897"
3948,Tỉnh Gia Lai,Vietnam,2020-09-20 04:22:56,14.058324,108.277199,1068,35,942,91.0,Vietnam,1.0972010965066137,3.2771535580524342,"14.058324, 108.277199"
3949,יהודה ושומרון,West Bank and Gaza,2020-09-20 04:22:56,31.9522,35.2332,35003,253,23446,11304.0,West Bank and Gaza,686.1428277952631,0.7227951889838014,"31.9522, 35.2332"
3950,,Western Sahara,2020-09-20 04:22:56,24.2155,-12.8858,10,1,8,1.0,Western Sahara,1.674116485025028,10.0,"24.2155, -12.8858"
3951,محافظة حضرموت,Yemen,2020-09-20 04:22:56,15.552727,48.516388,2026,585,1221,220.0,Yemen,6.79273846200063,28.874629812438307,"15.552727, 48.516388"
3952,Copperbelt Province,Zambia,2020-09-20 04:22:56,-13.133897,27.849332,14070,330,13365,375.0,Zambia,76.53412573441756,2.345415778251599,"-13.133897, 27.849332"
3953,Midlands,Zimbabwe,2020-09-20 04:22:56,-19.015438,29.154857,7672,225,5914,1533.0,Zimbabwe,51.6183656153327,2.93274244004171,"-19.015438, 29.154857"
